column,missing_values
sequence_id,0
source,0
subject_id,0
motion_name,0
mean_speed,0
max_speed,0
min_speed,0
std_speed,0
median_speed,0
mean_acceleration,0
max_acceleration,0
std_acceleration,0
mean_jerk,0
max_jerk,0
std_jerk,0
x_range,0
y_range,0
z_range,0
path_length,0
displacement,0
efficiency,0
stability_x,0
stability_y,0
stability_z,0
left_elbow_mean,0
left_elbow_max,0
left_elbow_min,0
left_elbow_rom,0
right_elbow_mean,0
right_elbow_max,0
right_elbow_min,0
right_elbow_rom,0
elbow_symmetry,0
left_shoulder_mean,0
left_shoulder_max,0
left_shoulder_min,0
left_shoulder_rom,0
right_shoulder_mean,0
right_shoulder_max,0
right_shoulder_min,0
right_shoulder_rom,0
shoulder_symmetry,0
shoulder_symmetry_mean,0
shoulder_symmetry_max,0
shoulder_symmetry_std,0
elbow_symmetry_mean,0
elbow_symmetry_max,0
elbow_symmetry_std,0
wrist_symmetry_mean,0
wrist_symmetry_max,0
wrist_symmetry_std,0
hip_symmetry_mean,0
hip_symmetry_max,0
hip_symmetry_std,0
knee_symmetry_mean,0
knee_symmetry_max,0
knee_symmetry_std,0
ankle_symmetry_mean,0
ankle_symmetry_max,0
ankle_symmetry_std,0
left_wrist_path_length,0
left_wrist_displacement,0
left_wrist_efficiency,0
right_wrist_path_length,0
right_wrist_displacement,0
right_wrist_efficiency,0
left_hand_path_length,0
left_hand_displacement,0
left_hand_efficiency,0
right_hand_path_length,0
right_hand_displacement,0
right_hand_efficiency,0
performance_outcome,152
